"OPEN 6.1.4"
"Wed Apr 10 2019 16:10:17"
<open><version>"6.1.4"</version></open>
<open><configfile>"/User/Configs/UserPrefs/Insect Rd"</configfile></open>
<open><light><source>""</source><par_in>1 <sensor>"GA-3287"<cal>0.82<actinity>1.00</actinity><transm>1.00</transm></cal></sensor><transm>1 </transm></par_in><par_out>1 <sensor>"Q45593"<cal>6.63 </cal></sensor></par_out></light></open>
<open><comps><file>"/User/Configs/Comps/Insect Rd"<header>""</header><extras></extras></file><energybal>no<f_parIn>1 </f_parIn><f_parOut>0 </f_parOut><alphaK>0.19</alphaK></energybal><bc_total>2.840<stomatal_ratio>1</stomatal_ratio><bc_oneside>1.420<type>2 </type><table>"/Sys/Lib/StdBLCTable"</table><area>6</area><slope>-0.219565 </slope><offset>2.73739 </offset><fan>5 </fan></bc_oneside></bc_total></comps></open>
<open><prompts><onlog>on</onlog><items>"Default (none)"<items[1]><id>141 </id><label>"Mass"</label><desc>"Insect mass (g)"</desc><type>0 </type><strscrlen>0 </strscrlen><fmt1>0 </fmt1><digs>0 </digs><initsval>""</initsval><initdval>77 </initdval></items[1]></items></prompts></open>
<open><constants><oxygen>21 %</oxygen><bb_vapor>1.5 </bb_vapor><bb_oxy>0.9 </bb_oxy></constants></open>
<open><stability><items>"Std Stability"<items[1]><id>-2 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[1]><items[2]><id>-5 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[2]><items[3]><id>-7 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[3]></items></stability></open>
<open><log><format>"Insect Rd"<items>{ -35  -21  -36  141  145  21  -76  -33  -34  -9  -10  -8  -1  -2  -4  -5  -14  -15  -7  -12  -13  -11  -65  -66  -72  -23   }<hdr>{  }</hdr></items></format><options><beep>on</beep><hdr>normal</hdr><rem>normal</rem><stab>no</stab><stats>no<period>15 </period></stats><excel>yes</excel><comm>no</comm></options><datafile>"/User/11aprresp"</datafile><button><action>"Normal Log"<code>" LogOneObsManual "</code></action></button><autoprog>"/User/Configs/AutoProgs/AutoLog"<active>no</active></autoprog></log></open>
<open><a2d><avgtime>4.0 secs</avgtime><userchans><ch20>"Off"</ch20><ch21>"Off"</ch21><ch22>"Off"</ch22><ch23>"Off"</ch23></userchans></a2d></open>
<open><matching><type>0 </type><disp>'a'</disp><settings><CO2Limit>10.0</CO2Limit><H2OLimit>1.0</H2OLimit><MaxAutoTime>60 </MaxAutoTime></settings></matching></open>
<li6400><factory><unit>"PSC-3287"</unit><serviced>"13 May 2015"</serviced><fuseaware>0 </fuseaware><co2mixer>yes</co2mixer><co2><coeffs>{ 0  0.221651  1.23686e-05  3.15189e-08  -6.8478e-12  6.66837e-16   }</coeffs><dvdt>-3.5 </dvdt><xs>{ 0.0016  0.000242   }</xs></co2><h2o><coeffs>{ 0  0.00564151  2.26863e-06  2.52929e-13   }</coeffs><dvdt>-2.2 </dvdt><xs>{ -0.00203  -0.00102   }</xs></h2o><flow>{ 0  0.3693   }</flow><press>{ 87.634  0.00552   }</press></factory></li6400>
<li6400><user><flow_zero>-110.9</flow_zero><irga_zero><co2>435.3 45.2<at>26.1777 </at></co2><h2o>162.2 6.2<at>25.9351 </at></h2o></irga_zero><irga_span><co2>{ 0.990007  0.995156   }</co2><h2o>{ 1.00011  1.00303   }</h2o></irga_span><irga_match><co2>{ 0.583922  1.56399   }</co2><h2o>{ 0.0349725  0.0485222   }</h2o></irga_match><co2_mixer><pump_mv>4500 </pump_mv><ppm>{ 2609.9  1492.33  874.317  717.311  575.991  526.315  504.426  494.405   }</ppm><mv>{ 5000  3000  1500  1000  500  300  200  100   }</mv></co2_mixer><parin_offset>-0.180371 </parin_offset><led_cal><unit>"SI-3233"</unit><mv>{ 10  25  50  100  1000  2000  3000  4000  5000   }</mv><qntm>{ 3.28068  12.6521  30.1349  72.8659  916.85  1820.54  2671.26  3483.18  4249.96   }</qntm></led_cal><lcf_cal><unit>"LCF-1493"</unit><red><mv>{ 50  100  200  400  800  1500   }</mv><qntm>{ 69.8249  157.786  336.55  704.155  1463.63  2773.67   }</qntm></red><blue><mv>{ 100  500  1000  2000  3000  4000  5000   }</mv><qntm>{ 3.95719  29.4677  52.7037  95.5029  132.216  163.685  192.139   }</qntm></blue></lcf_cal></user></li6400>
"16:10:19 "
$STARTOFDATA$
"Obs"	"HHMMSS"	"FTime"	"Mass"	"Resp"	"Trmmol"	"EBal?"	"Area"	"StmRat"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"CsMch"	"HsMch"	"StableF"	"Status"
27	"16:17:30"	455.5	1	5.03	0.00022	0	6	1	26.29	25.92	26.12	362.09	365.75	5.969	6.406	17.69	18.99	499.7	0	0	101.7	1.56	0.0485	1.0	111105
28	"16:17:46"	471.0	1	4.86	0.000231	0	6	1	26.31	25.94	26.14	361.88	365.39	5.961	6.420	17.65	19.01	499.6	-0	0	101.7	1.56	0.0485	0.7	111105
29	"16:18:01"	486.5	1	5.02	0.000198	0	6	1	26.32	25.95	26.16	361.71	365.37	5.962	6.355	17.64	18.80	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
30	"16:18:16"	502.0	1	4.89	0.000191	0	6	1	26.34	25.97	26.17	361.79	365.36	5.966	6.346	17.63	18.76	499.7	0	0	101.8	1.56	0.0485	1.0	111105
31	"16:18:32"	517.5	1	4.92	0.000171	0	6	1	26.35	25.99	26.19	361.77	365.38	5.965	6.306	17.62	18.62	499.6	-0	0	101.8	1.56	0.0485	1.0	111105
32	"16:18:47"	533.0	1	4.91	0.000164	0	6	1	26.37	26.01	26.21	361.69	365.29	5.964	6.290	17.59	18.55	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
33	"16:19:03"	548.5	1	5.07	0.000167	0	6	1	26.39	26.02	26.22	361.60	365.32	5.965	6.298	17.58	18.56	499.7	0	0	101.7	1.56	0.0485	1.0	111105
34	"16:19:18"	564.0	1	4.98	0.000166	0	6	1	26.41	26.04	26.24	361.50	365.16	5.961	6.291	17.55	18.52	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
35	"16:19:34"	579.5	1	4.97	0.000159	0	6	1	26.42	26.06	26.26	361.39	365.05	5.959	6.276	17.53	18.46	499.6	0	0	101.7	1.56	0.0485	1.0	111105
36	"16:19:49"	595.0	1	4.96	0.00016	0	6	1	26.44	26.07	26.27	361.25	364.89	5.959	6.278	17.51	18.45	499.7	0	0	101.7	1.56	0.0485	1.0	111105
37	"16:20:04"	610.0	1	4.8	0.000171	0	6	1	26.45	26.09	26.29	361.26	364.77	5.957	6.296	17.49	18.48	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
38	"16:20:20"	625.5	1	4.79	0.000167	0	6	1	26.47	26.10	26.30	361.16	364.66	5.957	6.289	17.47	18.45	499.7	-0	0	101.8	1.56	0.0485	1.0	111105
39	"16:20:35"	641.0	1	5.13	0.000182	0	6	1	26.48	26.12	26.32	360.90	364.66	5.946	6.308	17.43	18.49	499.6	0	0	101.7	1.56	0.0485	1.0	111105
40	"16:20:51"	656.5	1	4.87	0.00018	0	6	1	26.50	26.14	26.33	360.95	364.52	5.956	6.314	17.44	18.49	499.7	0	0	101.7	1.56	0.0485	1.0	111105
41	"16:21:06"	671.5	1	4.75	0.000167	0	6	1	26.51	26.15	26.35	360.93	364.41	5.954	6.286	17.42	18.39	499.6	-0	0	101.8	1.56	0.0485	1.0	111105
42	"16:21:21"	687.0	1	4.63	0.00016	0	6	1	26.53	26.16	26.36	360.84	364.23	5.952	6.270	17.40	18.33	499.6	-0	0	101.8	1.56	0.0485	0.7	111105
43	"16:21:37"	702.5	1	4.58	0.0002	0	6	1	26.54	26.18	26.38	360.84	364.16	5.956	6.353	17.39	18.55	499.7	0	0	101.7	1.56	0.0485	1.0	111105
44	"16:21:52"	717.5	1	4.64	0.000184	0	6	1	26.56	26.19	26.39	360.85	364.23	5.956	6.322	17.38	18.44	499.7	0	0	101.7	1.56	0.0485	1.0	111105
45	"16:22:07"	733.0	1	4.78	0.000189	0	6	1	26.57	26.21	26.41	360.77	364.26	5.954	6.330	17.36	18.45	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
46	"16:22:23"	748.5	1	4.72	0.000205	0	6	1	26.59	26.22	26.42	360.78	364.21	5.954	6.362	17.34	18.53	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
47	"16:22:38"	764.0	1	4.72	0.000181	0	6	1	26.60	26.24	26.44	360.77	364.21	5.953	6.313	17.32	18.37	499.7	-0	0	101.7	1.56	0.0485	1.0	111105
48	"16:22:53"	779.0	1	4.64	0.000171	0	6	1	26.61	26.26	26.45	360.70	364.09	5.952	6.291	17.31	18.30	499.7	0	0	101.7	1.56	0.0485	1.0	111105
49	"16:23:09"	794.5	1	4.6	0.000168	0	6	1	26.63	26.27	26.46	360.68	364.05	5.950	6.283	17.29	18.26	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
50	"16:23:24"	810.0	1	4.63	0.000173	0	6	1	26.64	26.28	26.48	360.65	364.03	5.951	6.295	17.28	18.28	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
51	"16:23:39"	825.0	1	4.68	0.00017	0	6	1	26.66	26.29	26.49	360.60	364.03	5.949	6.286	17.26	18.23	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
52	"16:23:55"	840.5	1	4.7	0.000167	0	6	1	26.67	26.31	26.51	360.58	364.02	5.951	6.284	17.25	18.21	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
53	"16:24:10"	856.0	1	4.54	0.000167	0	6	1	26.68	26.32	26.52	360.62	363.93	5.949	6.282	17.23	18.19	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
54	"16:24:26"	871.5	1	4.68	0.000182	0	6	1	26.70	26.33	26.53	360.53	363.95	5.948	6.310	17.21	18.26	499.6	-0	0	101.7	1.56	0.0485	1.0	111105
55	"16:24:41"	886.5	1	4.61	0.00019	0	6	1	26.71	26.35	26.55	360.48	363.84	5.942	6.319	17.18	18.27	499.7	-0	0	101.7	1.56	0.0485	1.0	111105
56	"16:24:56"	902.0	1	4.94	0.00018	0	6	1	26.72	26.36	26.56	360.18	363.79	5.934	6.292	17.15	18.18	499.7	0	0	101.8	1.56	0.0485	1.0	111105
57	"16:25:12"	917.5	1	4.81	0.00019	0	6	1	26.73	26.37	26.57	360.14	363.64	5.932	6.309	17
